GeoID,Years,GeoType,TotalPop,PctRural,PctMinority,PctHispanic,PctBlackNH,PctAPINH,Pct_forborn,PctDisabled,PctEducLHS,PctEducBchPlus,Pct100Pov,PctNoHealthIns
34031,10yrs,County,501226,2.41,54.68,37.04,11.07,4.91,30.77,6.43,15.95,28.55,15.25,13.20
34033,01yr,County,66083,45.30,23.22,6.82,13.53,0.84,3.27,14.30,9.80,22.80,13.03,4.80
34033,05yrs,County,66083,45.30,23.22,6.82,13.53,0.84,3.27,14.30,9.80,22.80,13.03,4.80
34033,10yrs,County,66083,45.30,23.22,6.82,13.53,0.84,4.09,13.72,11.35,21.90,13.60,6.05
34035,01yr,County,323444,5.79,37.59,13.01,8.50,14.08,26.85,5.39,6.00,57.30,5.29,5.60
34035,05yrs,County,323444,5.79,37.59,13.01,8.50,14.08,26.85,5.39,6.00,57.30,5.29,5.60
34035,10yrs,County,323444,5.79,37.59,13.01,8.50,14.08,25.73,5.31,5.80,55.20,5.03,6.00
34037,01yr,County,149265,39.85,11.24,6.44,1.64,1.76,8.11,8.51,4.60,39.00,5.54,3.60
34037,05yrs,County,149265,39.85,11.24,6.44,1.64,1.76,8.11,8.51,4.60,39.00,5.54,3.60
34037,10yrs,County,149265,39.85,11.24,6.44,1.64,1.76,8.04,8.32,5.10,36.70,5.43,5.00
34039,01yr,County,536499,0.00,54.65,27.34,20.82,4.59,31.61,6.79,13.20,38.30,8.86,12.10
34039,05yrs,County,536499,0.00,54.65,27.34,20.82,4.59,31.61,6.79,13.20,38.30,8.86,12.10
34039,10yrs,County,536499,0.00,54.65,27.34,20.82,4.59,30.76,6.75,13.60,36.20,9.59,12.55
34041,01yr,County,108692,37.56,14.29,7.05,3.30,2.45,9.85,9.23,6.20,35.50,7.74,5.00
34041,05yrs,County,108692,37.56,14.29,7.05,3.30,2.45,9.85,9.23,6.20,35.50,7.74,5.00
34041,10yrs,County,108692,37.56,14.29,7.05,3.30,2.45,9.57,9.40,7.70,33.60,7.96,6.05
US,01yr,Nationwide,308745538,19.27,36.25,16.35,12.21,4.84,13.68,10.46,10.80,34.30,12.53,8.70
US,05yrs,Nationwide,308745538,19.27,36.25,16.35,12.21,4.84,13.68,10.46,10.80,34.30,12.53,8.70
US,10yrs,Nationwide,308745538,19.27,36.25,16.35,12.21,4.84,13.54,10.40,11.70,32.60,13.56,9.60
34,01yr,State,8791894,5.32,40.69,17.69,12.80,8.21,23.19,7.89,9.30,42.30,9.68,7.50
34,05yrs,State,8791894,5.32,40.69,17.69,12.80,8.21,23.19,7.89,9.30,42.30,9.68,7.50
34,10yrs,State,8791894,5.32,40.69,17.69,12.80,8.21,22.64,7.84,10.05,40.20,10.18,8.60
A9001za,01yr,Zone,59745,0.00,59.42,15.81,14.57,26.05,36.36,7.29,9.66,41.17,8.89,5.83
A9001za,05yrs,Zone,59745,0.00,59.42,15.81,14.57,26.05,36.36,7.29,9.66,41.17,8.89,5.83
A9001za,10yrs,Zone,59745,0.00,59.42,15.81,14.57,26.05,35.77,6.70,9.65,40.88,7.59,7.17
A9002za,01yr,Zone,61133,0.09,40.44,8.56,3.06,26.11,32.74,4.91,5.35,58.19,4.35,3.84
A9002za,05yrs,Zone,61133,0.09,40.44,8.56,3.06,26.11,32.74,4.91,5.35,58.19,4.35,3.84
