GeoID,Sex,Cancer,Years,PopTot,Cases,AAIR,LCI,UCI,W_PopTot,W_Cases,W_AAIR,W_LCI,W_UCI,B_PopTot,B_Cases,B_AAIR,B_LCI,B_UCI,H_PopTot,H_Cases,H_AAIR,H_LCI,H_UCI,API_PopTot,API_Cases,API_AAIR,API_LCI,API_UCI,AIAN_PopTot,AIAN_Cases,AIAN_AAIR,AIAN_LCI,AIAN_UCI,GeoName,GeoType
A9128za,Female,HL,10yrs,306309,,,,,110100,,,,,46501,,,,,43040,,,,,105753,,,,,915,,,,,Middlesex 9,Zone
A9128za,Male,HL,10yrs,299688,,,,,107141,,,,,42476,,,,,42370,,,,,106947,,,,,754,,,,,Middlesex 9,Zone
A9129za,Both,HL,10yrs,620155,36,6.6,4.5,9.3,523394,33,6.9,4.6,9.9,10437,,,,,45945,,,,,39847,,,,,532,,,,,Bergen 13,Zone
A9129za,Female,HL,10yrs,314411,17,6.1,3.4,10.1,264613,,,,,4931,,,,,23772,,,,,20817,,,,,277,,,,,Bergen 13,Zone
A9129za,Male,HL,10yrs,305744,19,7.1,4.1,11.3,258781,19,8.2,4.7,13.1,5505,,,,,22173,,,,,19030,,,,,255,,,,,Bergen 13,Zone
A9130za,Both,HL,10yrs,680274,,,,,615200,,,,,10690,,,,,43838,,,,,9781,,,,,766,,,,,Ocean 7,Zone
A9130za,Female,HL,10yrs,347786,,,,,315750,,,,,4924,,,,,21579,,,,,5138,,,,,395,,,,,Ocean 7,Zone
A9130za,Male,HL,10yrs,332488,,,,,299450,,,,,5766,,,,,22259,,,,,4642,,,,,371,,,,,Ocean 7,Zone
A9131za,Both,HL,10yrs,648119,33,4.9,3.4,6.9,364988,21,5.1,3.0,8.0,28933,,,,,178418,,,,,74753,,,,,1027,,,,,Bergen 6,Zone
A9131za,Female,HL,10yrs,331163,20,5.4,3.2,8.4,184807,,,,,15607,,,,,92846,,,,,37452,,,,,451,,,,,Bergen 6,Zone
A9131za,Male,HL,10yrs,316956,,,,,180181,,,,,13326,,,,,85572,,,,,37301,,,,,576,,,,,Bergen 6,Zone
A9132za,Both,HL,10yrs,647846,20,2.8,1.4,4.9,246902,,,,,44974,,,,,91272,,,,,262758,,,,,1940,,,,,Hudson 4,Zone
A9132za,Female,HL,10yrs,307798,,,,,110016,,,,,22482,,,,,46950,,,,,127394,,,,,956,,,,,Hudson 4,Zone
A9132za,Male,HL,10yrs,340048,,,,,136886,,,,,22492,,,,,44322,,,,,135364,,,,,984,,,,,Hudson 4,Zone
A9133za,Both,HL,10yrs,603662,,,,,468509,,,,,72927,,,,,40650,,,,,20246,,,,,1330,,,,,Gloucester 5,Zone
A9133za,Female,HL,10yrs,303154,,,,,236386,,,,,37084,,,,,18154,,,,,10840,,,,,689,,,,,Gloucester 5,Zone
A9133za,Male,HL,10yrs,300508,,,,,232124,,,,,35842,,,,,22496,,,,,9406,,,,,640,,,,,Gloucester 5,Zone
A9134za,Both,HL,10yrs,609075,18,2.7,1.6,4.4,405373,16,3.6,2.0,6.1,26303,,,,,127778,,,,,48467,,,,,1154,,,,,Passaic 2,Zone
A9134za,Female,HL,10yrs,315859,,,,,210336,,,,,13219,,,,,66217,,,,,25566,,,,,521,,,,,Passaic 2,Zone
A9134za,Male,HL,10yrs,293216,,,,,195037,,,,,13084,,,,,61561,,,,,22901,,,,,633,,,,,Passaic 2,Zone
A9135za,Both,HL,10yrs,643248,22,4.7,2.8,7.3,423023,,,,,64988,,,,,41741,,,,,113020,,,,,476,,,,,Other Essex 8,Zone
A9135za,Female,HL,10yrs,327879,,,,,213851,,,,,35052,,,,,21462,,,,,57268,,,,,246,,,,,Other Essex 8,Zone
A9135za,Male,HL,10yrs,315369,,,,,209172,,,,,29936,,,,,20279,,,,,55752,,,,,230,,,,,Other Essex 8,Zone
A9136za,Both,HL,10yrs,594544,25,4.1,2.6,6.1,163023,,,,,60673,,,,,350128,,,,,19824,,,,,896,,,,,Passaic 4,Zone
A9136za,Female,HL,10yrs,300143,,,,,79196,,,,,32666,,,,,177961,,,,,9890,,,,,430,,,,,Passaic 4,Zone
A9136za,Male,HL,10yrs,294401,,,,,83827,,,,,28008,,,,,172166,,,,,9934,,,,,466,,,,,Passaic 4,Zone
A9137za,Both,HL,10yrs,590951,20,3.3,2.0,5.2,476542,18,3.7,2.2,6.0,51575,,,,,38355,,,,,23342,,,,,1138,,,,,Gloucester 2,Zone
A9137za,Female,HL,10yrs,303225,,,,,243897,,,,,27145,,,,,19372,,,,,12173,,,,,638,,,,,Gloucester 2,Zone
A9137za,Male,HL,10yrs,287726,,,,,232645,,,,,24430,,,,,18983,,,,,11169,,,,,499,,,,,Gloucester 2,Zone
A9138za,Both,HL,10yrs,628531,25,3.9,2.5,5.8,456516,20,4.2,2.5,6.7,18745,,,,,95780,,,,,56825,,,,,665,,,,,Morris 3,Zone
A9138za,Female,HL,10yrs,318781,,,,,229458,,,,,9526,,,,,50557,,,,,28985,,,,,255,,,,,Morris 3,Zone
A9138za,Male,HL,10yrs,309750,,,,,227059,,,,,9219,,,,,45222,,,,,27840,,,,,411,,,,,Morris 3,Zone
A9139za,Both,HL,10yrs,620951,,,,,550086,,,,,11698,,,,,40691,,,,,17828,,,,,648,,,,,Monmouth 1,Zone
A9139za,Female,HL,10yrs,317121,,,,,280916,,,,,5446,,,,,20900,,,,,9570,,,,,289,,,,,Monmouth 1,Zone
A9139za,Male,HL,10yrs,303829,,,,,269170,,,,,6251,,,,,19791,,,,,8258,,,,,359,,,,,Monmouth 1,Zone
A9140za,Both,HL,10yrs,531205,23,4.3,2.7,6.6,414817,17,4.0,2.3,6.5,25177,,,,,63358,,,,,27211,,,,,642,,,,,Monmouth 2,Zone
