ZoneIDOrig,County,CountyCode
A9001,New Castle,10003
A9002,Kent,10001
A9003,New Castle,10003
A9004,Sussex,10005
A9005,New Castle,10003
A9006,Kent,10001
A9007,Sussex,10005
A9008,New Castle,10003
A9009,New Castle,10003
A9010,New Castle,10003
A9011,Kent,10001
A9012,New Castle,10003
A9013,New Castle,10003
A9014,New Castle,10003
A9015,Sussex,10005
